Day,Month,Year,AreaUnderDrought
28,09,2021,62.65
21,09,2021,60.87
14,09,2021,58.45
07,09,2021,54.86
31,08,2021,55.52
24,08,2021,55.61
17,08,2021,56.28
10,08,2021,56.22
03,08,2021,54.17
27,07,2021,53.54
20,07,2021,54.06
13,07,2021,55.78
06,07,2021,57.52
29,06,2021,58.52
22,06,2021,60.68
15,06,2021,60.12
08,06,2021,61.21
01,06,2021,59.0
25,05,2021,61.36
18,05,2021,59.69
11,05,2021,61.15
04,05,2021,65.64
27,04,2021,68.27
20,04,2021,64.68
13,04,2021,62.55
06,04,2021,64.36
30,03,2021,63.41
23,03,2021,64.21
16,03,2021,65.85
09,03,2021,66.54
02,03,2021,61.67
23,02,2021,63.9
16,02,2021,64.46
09,02,2021,64.68
02,02,2021,64.36
26,01,2021,62.32
19,01,2021,63.47
12,01,2021,61.76
05,01,2021,61.6
29,12,2020,66.41
22,12,2020,67.03
15,12,2020,66.97
08,12,2020,67.41
01,12,2020,66.85
24,11,2020,67.41
17,11,2020,64.63
10,11,2020,64.45
03,11,2020,62.37
27,10,2020,64.42
20,10,2020,65.96
13,10,2020,64.82
06,10,2020,62.88
29,09,2020,61.95
22,09,2020,58.52
15,09,2020,57.52
08,09,2020,57.08
01,09,2020,57.46
25,08,2020,57.62
18,08,2020,54.01
11,08,2020,52.91
04,08,2020,54.01
28,07,2020,56.03
21,07,2020,55.63
14,07,2020,51.4
07,07,2020,48.51
30,06,2020,45.43
23,06,2020,44.75
16,06,2020,43.74
09,06,2020,38.62
02,06,2020,35.89
26,05,2020,34.35
19,05,2020,35.54
12,05,2020,34.31
05,05,2020,30.77
28,04,2020,28.7
21,04,2020,26.92
14,04,2020,25.58
07,04,2020,25.52
31,03,2020,25.21
24,03,2020,25.06
17,03,2020,24.91
10,03,2020,24.29
03,03,2020,23.79
25,02,2020,23.02
18,02,2020,23.51
11,02,2020,24.15
04,02,2020,25.7
28,01,2020,26.68
21,01,2020,24.87
14,01,2020,23.3
07,01,2020,24.06
31,12,2019,24.2
24,12,2019,25.63
17,12,2019,27.06
10,12,2019,27.96
03,12,2019,31.84
26,11,2019,32.95
19,11,2019,29.69
12,11,2019,29.91
05,11,2019,27.95
29,10,2019,33.76
22,10,2019,37.31
15,10,2019,39.78
08,10,2019,36.81
01,10,2019,39.41
24,09,2019,39.01
17,09,2019,34.2
10,09,2019,31.03
03,09,2019,29.54
27,08,2019,27.84
20,08,2019,26.4
13,08,2019,24.18
06,08,2019,18.98
30,07,2019,13.65
23,07,2019,10.85
16,07,2019,9.79
09,07,2019,10.83
02,07,2019,9.96
25,06,2019,10.1
18,06,2019,10.73
11,06,2019,10.58
04,06,2019,12.92
28,05,2019,12.1
21,05,2019,9.38
14,05,2019,8.84
07,05,2019,9.83
30,04,2019,11.12
23,04,2019,12.35
16,04,2019,14.12
09,04,2019,18.09
02,04,2019,20.63
26,03,2019,18.35
19,03,2019,18.77
12,03,2019,21.99
05,03,2019,26.44
26,02,2019,26.68
19,02,2019,29.84
12,02,2019,32.17
05,02,2019,30.17
29,01,2019,29.8
22,01,2019,31.11
15,01,2019,31.48
08,01,2019,30.44
01,01,2019,30.95
25,12,2018,34.0
18,12,2018,33.15
11,12,2018,32.84
04,12,2018,32.55
27,11,2018,34.03
20,11,2018,33.61
13,11,2018,35.14
06,11,2018,35.67
30,10,2018,36.59
23,10,2018,38.13
16,10,2018,38.35
09,10,2018,43.31
02,10,2018,47.36
25,09,2018,48.64
18,09,2018,50.33
11,09,2018,50.43
04,09,2018,53.75
28,08,2018,55.89
21,08,2018,57.27
14,08,2018,57.93
07,08,2018,54.08
31,07,2018,54.43
24,07,2018,53.52
17,07,2018,50.07
10,07,2018,48.56
03,07,2018,49.01
26,06,2018,48.69
19,06,2018,47.12
12,06,2018,47.68
05,06,2018,46.29
29,05,2018,42.56
22,05,2018,43.33
15,05,2018,45.64
08,05,2018,44.44
01,05,2018,42.76
24,04,2018,42.49
17,04,2018,42.82
10,04,2018,46.51
03,04,2018,47.55
27,03,2018,49.21
20,03,2018,49.96
13,03,2018,52.1
06,03,2018,52.47
27,02,2018,54.66
20,02,2018,59.29
13,02,2018,60.5
06,02,2018,66.95
30,01,2018,67.1
23,01,2018,62.45
16,01,2018,60.93
09,01,2018,57.81
02,01,2018,55.54
26,12,2017,54.69
19,12,2017,56.74
12,12,2017,54.92
05,12,2017,47.62
28,11,2017,42.66
21,11,2017,36.82
14,11,2017,35.03
07,11,2017,32.82
31,10,2017,33.53
24,10,2017,36.36
17,10,2017,37.75
10,10,2017,38.07
03,10,2017,38.85
26,09,2017,36.93
19,09,2017,36.87
12,09,2017,33.74
05,09,2017,30.09
29,08,2017,28.57
22,08,2017,27.43
15,08,2017,28.05
08,08,2017,29.77
01,08,2017,30.52
25,07,2017,32.7
18,07,2017,29.33
11,07,2017,23.1
04,07,2017,22.35
27,06,2017,21.6
20,06,2017,19.5
13,06,2017,20.01
06,06,2017,16.96
30,05,2017,18.3
23,05,2017,14.27
16,05,2017,16.57
09,05,2017,15.11
02,05,2017,14.3
25,04,2017,21.67
18,04,2017,26.95
11,04,2017,26.99
04,04,2017,29.72
28,03,2017,35.58
21,03,2017,36.21
