Category: All categories

City,Heat stroke: (1/1/04 - 10/2/21)
Bay Lake,
Mesa,
Tulsa,
Tempe,
Paradise,
Plano,100
Bakersfield,
Phoenix,100
Oklahoma City,
Omaha,95
Honolulu,
Orlando,90
Sacramento,
Salt Lake City,
Albuquerque,
San Antonio,81
Fort Worth,
Las Vegas,
Austin,81
Dallas,81
New Orleans,
Tucson,
Louisville,
El Paso,
Kansas City,
Raleigh,72
Minneapolis,
Colorado Springs,
Tampa,
Fresno,
Houston,68
Madison,
San Diego,68
Birmingham,
Jacksonville,
Los Angeles,68
Portland,63
Hialeah,
St. Louis,
Virginia Beach,
Nashville,
Washington,59
Chicago,59
Denver,59
Memphis,
San Francisco,59
Atlanta,59
San Jose,59
Seattle,59
Milwaukee,
Cleveland,
Pittsburgh,
Boston,54
Columbus,
Charlotte,54
Richardson,
Yonkers,
Philadelphia,50
Indianapolis,
Miami,
Detroit,
Baltimore,
New York,45
Irvine,
