Category: All categories

DMA,Heat stroke: (1/1/04 - 10/2/21)
Palm Springs CA,100
Presque Isle ME,82
Yuma AZ-El Centro CA,78
Corpus Christi TX,77
Great Falls MT,74
Sherman TX-Ada OK,74
North Platte NE,71
Yakima-Pasco-Richland-Kennewick WA,71
Phoenix AZ,69
Bakersfield CA,69
Rapid City SD,69
Lafayette LA,69
Chico-Redding CA,68
San Angelo TX,67
Twin Falls ID,67
Ft. Smith-Fayetteville-Springdale-Rogers AR,67
Jonesboro AR,66
Little Rock-Pine Bluff AR,66
Idaho Falls-Pocatello ID,66
Columbia-Jefferson City MO,65
Odessa-Midland TX,65
Victoria TX,64
Wausau-Rhinelander WI,64
Tyler-Longview(Lufkin & Nacogdoches) TX,64
Honolulu HI,63
Salt Lake City UT,63
Zanesville OH,63
Lake Charles LA,63
Panama City FL,63
Sioux City IA,63
Omaha NE,63
Wichita Falls TX & Lawton OK,62
Oklahoma City OK,62
Lima OH,62
Joplin MO-Pittsburg KS,61
Tulsa OK,60
Las Vegas NV,60
Parkersburg WV,60
Florence-Myrtle Beach SC,60
Orlando-Daytona Beach-Melbourne FL,60
Topeka KS,59
Fargo-Valley City ND,59
Shreveport LA,59
St. Joseph MO,59
Minot-Bismarck-Dickinson(Williston) ND,59
Spokane WA,59
Ft. Myers-Naples FL,59
Casper-Riverton WY,59
Lincoln & Hastings-Kearney NE,58
Harlingen-Weslaco-Brownsville-McAllen TX,58
Greenville-New Bern-Washington NC,58
Albany GA,58
Jackson TN,58
Greenwood-Greenville MS,58
Missoula MT,57
Gainesville FL,57
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,57
Medford-Klamath Falls OR,57
Laredo TX,57
Springfield MO,57
Albuquerque-Santa Fe NM,57
Amarillo TX,57
Alexandria LA,57
Marquette MI,57
Austin TX,57
San Antonio TX,56
Rochester MN-Mason City IA-Austin MN,56
Traverse City-Cadillac MI,55
Tucson (Sierra Vista) AZ,55
Wichita-Hutchinson KS,55
Sioux Falls(Mitchell) SD,54
Helena MT,54
Sacramento-Stockton-Modesto CA,54
Quincy IL-Hannibal MO-Keokuk IA,53
Youngstown OH,53
Davenport IA-Rock Island-Moline IL,53
New Orleans LA,53
Evansville IN,53
Louisville KY,53
Des Moines-Ames IA,52
Wheeling WV-Steubenville OH,52
Green Bay-Appleton WI,52
Bangor ME,52
Fresno-Visalia CA,52
Madison WI,52
Reno NV,52
Macon GA,51
Waco-Temple-Bryan TX,51
Bend OR,51
Portland-Auburn ME,51
El Paso TX,50
Grand Junction-Montrose CO,50
Mobile AL-Pensacola (Ft. Walton Beach) FL,50
Peoria-Bloomington IL,50
Salisbury MD,50
Charlottesville VA,50
Watertown NY,50
Meridian MS,49
Augusta GA,49
Lubbock TX,49
Minneapolis-St. Paul MN,49
Huntsville-Decatur (Florence) AL,49
Nashville TN,48
Ft. Wayne IN,48
Dallas-Ft. Worth TX,48
Boise ID,48
Mankato MN,48
Tampa-St. Petersburg (Sarasota) FL,48
Monroe LA-El Dorado AR,48
Bluefield-Beckley-Oak Hill WV,48
Biloxi-Gulfport MS,48
"Billings, MT",48
Rockford IL,48
Houston TX,47
La Crosse-Eau Claire WI,47
Butte-Bozeman MT,47
Charleston-Huntington WV,47
Columbus-Tupelo-West Point MS,46
Kansas City MO,46
Eugene OR,46
St. Louis MO,46
Binghamton NY,46
Knoxville TN,46
Hattiesburg-Laurel MS,46
Wilmington NC,46
Jacksonville FL,46
Burlington VT-Plattsburgh NY,46
Ottumwa IA-Kirksville MO,45
Duluth MN-Superior WI,45
Savannah GA,45
Bowling Green KY,45
Wilkes Barre-Scranton PA,45
Columbia SC,45
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,44
Birmingham AL,44
Memphis TN,44
Baton Rouge LA,44
Abilene-Sweetwater TX,44
South Bend-Elkhart IN,44
Norfolk-Portsmouth-Newport News VA,44
Jackson MS,44
Clarksburg-Weston WV,44
Eureka CA,44
Champaign & Springfield-Decatur IL,44
Syracuse NY,44
Santa Barbara-Santa Maria-San Luis Obispo CA,44
Harrisburg-Lancaster-Lebanon-York PA,44
Montgomery (Selma) AL,44
Terre Haute IN,43
Charleston SC,43
Lexington KY,43
Grand Rapids-Kalamazoo-Battle Creek MI,43
Tri-Cities TN-VA,43
Milwaukee WI,43
Chattanooga TN,42
Flint-Saginaw-Bay City MI,42
Albany-Schenectady-Troy NY,42
Lansing MI,42
Monterey-Salinas CA,42
Los Angeles CA,42
Greenville-Spartanburg SC-Asheville NC-Anderson SC,42
Tallahassee FL-Thomasville GA,42
Hartford & New Haven CT,41
San Diego CA,41
Seattle-Tacoma WA,41
Cheyenne WY-Scottsbluff NE,40
Dayton OH,40
Indianapolis IN,40
Erie PA,40
Providence RI-New Bedford MA,40
Baltimore MD,40
Cincinnati OH,40
Portland OR,39
Colorado Springs-Pueblo CO,39
Utica NY,39
Raleigh-Durham (Fayetteville) NC,39
Charlotte NC,39
Denver CO,39
Columbus GA,39
Atlanta GA,39
Boston MA-Manchester NH,39
Springfield-Holyoke MA,38
West Palm Beach-Ft. Pierce FL,38
Chicago IL,38
Richmond-Petersburg VA,38
Dothan AL,38
Harrisonburg VA,38
Detroit MI,38
Beaumont-Port Arthur TX,37
Buffalo NY,37
Cleveland-Akron (Canton) OH,37
Elmira NY,36
Fairbanks AK,36
Philadelphia PA,36
Johnstown-Altoona PA,36
Miami-Ft. Lauderdale FL,36
Columbus OH,36
Greensboro-High Point-Winston Salem NC,35
Pittsburgh PA,35
Lafayette IN,34
Rochester NY,34
Washington DC (Hagerstown MD),34
San Francisco-Oakland-San Jose CA,34
Anchorage AK,32
Toledo OH,32
Roanoke-Lynchburg VA,32
New York NY,31
Juneau AK,24
Glendive MT,
Alpena MI,
