Category: All categories

Region,Heat stroke: (1/1/04 - 10/2/21)
Hawaii,100
Arizona,98
South Dakota,96
Nebraska,96
Utah,95
Arkansas,95
Oklahoma,94
North Dakota,85
Idaho,85
Louisiana,85
Nevada,84
New Mexico,84
Montana,84
Kansas,81
Iowa,81
Wisconsin,75
Texas,74
Missouri,74
Minnesota,73
Wyoming,73
Florida,72
Maine,72
Mississippi,71
South Carolina,71
Tennessee,69
West Virginia,68
Washington,67
Kentucky,66
Alabama,66
Oregon,65
North Carolina,64
Indiana,63
California,62
Vermont,62
Illinois,60
Michigan,60
Connecticut,59
Georgia,58
New Hampshire,58
Ohio,58
Massachusetts,58
Delaware,58
Rhode Island,57
District of Columbia,57
Colorado,57
Maryland,56
New Jersey,54
Virginia,54
Pennsylvania,54
Alaska,50
New York,47
