Category: All categories

Month,Heat stroke: (United States)
2004-01,4
2004-02,6
2004-03,5
2004-04,11
2004-05,19
2004-06,25
2004-07,34
2004-08,20
2004-09,7
2004-10,12
2004-11,4
2004-12,4
2005-01,2
2005-02,7
2005-03,4
2005-04,11
2005-05,11
2005-06,49
2005-07,57
2005-08,36
2005-09,14
2005-10,5
2005-11,5
2005-12,6
2006-01,3
2006-02,5
2006-03,5
2006-04,9
2006-05,21
2006-06,36
2006-07,75
2006-08,33
2006-09,11
2006-10,6
2006-11,4
2006-12,3
2007-01,4
2007-02,7
2007-03,6
2007-04,8
2007-05,15
2007-06,32
2007-07,36
2007-08,37
2007-09,11
2007-10,7
2007-11,6
2007-12,6
2008-01,4
2008-02,5
2008-03,5
2008-04,8
2008-05,14
2008-06,35
2008-07,32
2008-08,23
2008-09,10
2008-10,5
2008-11,4
2008-12,3
2009-01,4
2009-02,6
2009-03,5
2009-04,11
2009-05,15
2009-06,38
2009-07,28
2009-08,23
2009-09,12
2009-10,5
2009-11,6
2009-12,4
2010-01,5
2010-02,3
2010-03,6
2010-04,9
2010-05,21
2010-06,46
2010-07,60
2010-08,34
2010-09,14
2010-10,6
2010-11,6
2010-12,4
2011-01,3
2011-02,6
2011-03,6
2011-04,10
2011-05,17
2011-06,41
2011-07,70
2011-08,31
2011-09,12
2011-10,6
2011-11,5
2011-12,3
2012-01,4
2012-02,4
2012-03,7
2012-04,10
2012-05,23
2012-06,44
2012-07,69
2012-08,30
2012-09,14
2012-10,7
2012-11,5
2012-12,4
2013-01,4
2013-02,5
2013-03,5
2013-04,9
2013-05,19
2013-06,37
2013-07,60
2013-08,27
2013-09,16
2013-10,7
2013-11,4
2013-12,4
2014-01,4
2014-02,5
2014-03,6
2014-04,10
2014-05,22
2014-06,36
2014-07,47
2014-08,30
2014-09,18
2014-10,8
2014-11,6
2014-12,5
2015-01,4
2015-02,5
2015-03,8
2015-04,11
2015-05,18
2015-06,53
2015-07,55
2015-08,35
2015-09,22
2015-10,7
2015-11,5
2015-12,4
2016-01,5
2016-02,6
2016-03,8
2016-04,11
2016-05,19
2016-06,55
2016-07,67
2016-08,37
2016-09,18
2016-10,8
2016-11,6
2016-12,5
2017-01,5
2017-02,7
2017-03,11
2017-04,13
2017-05,23
2017-06,50
2017-07,62
2017-08,28
2017-09,22
2017-10,10
2017-11,6
2017-12,5
2018-01,5
2018-02,6
2018-03,6
2018-04,12
2018-05,31
2018-06,53
2018-07,78
2018-08,40
2018-09,23
2018-10,9
2018-11,6
2018-12,5
2019-01,5
2019-02,6
2019-03,6
2019-04,13
2019-05,22
2019-06,46
2019-07,100
2019-08,42
2019-09,25
2019-10,9
2019-11,6
2019-12,5
2020-01,6
2020-02,7
2020-03,8
2020-04,11
2020-05,22
2020-06,46
2020-07,77
2020-08,47
2020-09,21
2020-10,10
2020-11,6
2020-12,5
2021-01,6
2021-02,5
2021-03,7
2021-04,12
2021-05,20
2021-06,76
2021-07,55
2021-08,48
2021-09,17
