Category: All categories

City,Heat wave: (1/1/04 - 10/2/21)
Lake Forest Park,
Mesa,
Paradise,
Henderson,
Tacoma,
Portland,100
Bakersfield,
Sacramento,95
Eugene,
Tempe,
San Diego,83
Pasadena,
Oakland,
Spokane,
Riverside,
Santa Ana,
Fresno,
San Jose,75
Long Beach,
Austin,74
Aurora,
Tucson,
Phoenix,72
Las Vegas,69
Seattle,68
Yonkers,65
Los Angeles,65
Jersey City,
Irvine,
San Francisco,53
Boise,
Albuquerque,
Fort Worth,
Philadelphia,50
Boston,50
New York,48
Tulsa,
Madison,
New Orleans,
Houston,43
Plano,
Washington,42
Honolulu,
Kansas City,
Chicago,40
San Antonio,40
Newark,
Minneapolis,
Baltimore,
Dallas,39
Denver,37
Oklahoma City,
Nashville,
Tampa,
Jacksonville,
Raleigh,
Columbus,36
Indianapolis,
Orlando,
Omaha,
St. Louis,
Atlanta,33
Detroit,
Milwaukee,
Charlotte,
Miami,
