Category: All categories

DMA,Heat wave: (1/1/04 - 10/2/21)
Yuma AZ-El Centro CA,100
Laredo TX,99
Twin Falls ID,75
Yakima-Pasco-Richland-Kennewick WA,75
Medford-Klamath Falls OR,73
Bakersfield CA,72
Eugene OR,69
Chico-Redding CA,68
Bend OR,64
Spokane WA,64
Palm Springs CA,64
Seattle-Tacoma WA,64
Sacramento-Stockton-Modesto CA,59
Las Vegas NV,59
Portland OR,59
"Billings, MT",57
Fresno-Visalia CA,57
Boise ID,56
Santa Barbara-Santa Maria-San Luis Obispo CA,56
Monterey-Salinas CA,54
Tucson (Sierra Vista) AZ,51
Reno NV,50
Glendive MT,49
Phoenix AZ,49
San Diego CA,48
Los Angeles CA,45
Austin TX,43
Panama City FL,43
Grand Junction-Montrose CO,41
San Francisco-Oakland-San Jose CA,41
Great Falls MT,40
Salt Lake City UT,40
San Angelo TX,39
Burlington VT-Plattsburgh NY,39
Columbus-Tupelo-West Point MS,39
Corpus Christi TX,38
Casper-Riverton WY,38
Eureka CA,37
Juneau AK,37
Quincy IL-Hannibal MO-Keokuk IA,37
Odessa-Midland TX,34
Honolulu HI,34
Albuquerque-Santa Fe NM,33
Hartford & New Haven CT,32
Jackson MS,32
Philadelphia PA,32
Harrisburg-Lancaster-Lebanon-York PA,32
New York NY,32
Peoria-Bloomington IL,32
Portland-Auburn ME,32
Waco-Temple-Bryan TX,31
Rapid City SD,31
Boston MA-Manchester NH,30
Tallahassee FL-Thomasville GA,30
Bangor ME,30
Albany-Schenectady-Troy NY,30
Minneapolis-St. Paul MN,30
Springfield-Holyoke MA,30
Rockford IL,29
Bluefield-Beckley-Oak Hill WV,29
Sherman TX-Ada OK,29
Biloxi-Gulfport MS,29
Kansas City MO,29
Johnstown-Altoona PA,29
El Paso TX,29
Lake Charles LA,29
Wichita Falls TX & Lawton OK,28
Lansing MI,28
Butte-Bozeman MT,28
Idaho Falls-Pocatello ID,28
Denver CO,28
Clarksburg-Weston WV,28
Colorado Springs-Pueblo CO,27
Chicago IL,27
Madison WI,27
South Bend-Elkhart IN,27
Alexandria LA,27
Lexington KY,26
Wilkes Barre-Scranton PA,26
Dallas-Ft. Worth TX,26
Wilmington NC,26
Houston TX,26
Columbus GA,26
Tulsa OK,26
Lincoln & Hastings-Kearney NE,26
Salisbury MD,26
Ft. Wayne IN,26
Mankato MN,26
Syracuse NY,26
Duluth MN-Superior WI,26
Monroe LA-El Dorado AR,26
Flint-Saginaw-Bay City MI,26
San Antonio TX,25
Utica NY,25
Fairbanks AK,25
Oklahoma City OK,25
Sioux City IA,25
Davenport IA-Rock Island-Moline IL,25
Beaumont-Port Arthur TX,25
Raleigh-Durham (Fayetteville) NC,25
