Category: All categories

Month,Heat wave: (United States)
2004-01,6
2004-02,1
2004-03,4
2004-04,4
2004-05,6
2004-06,5
2004-07,8
2004-08,4
2004-09,6
2004-10,2
2004-11,2
2004-12,4
2005-01,3
2005-02,6
2005-03,3
2005-04,3
2005-05,5
2005-06,6
2005-07,13
2005-08,4
2005-09,7
2005-10,3
2005-11,5
2005-12,4
2006-01,3
2006-02,3
2006-03,2
2006-04,3
2006-05,5
2006-06,5
2006-07,21
2006-08,11
2006-09,3
2006-10,5
2006-11,2
2006-12,2
2007-01,4
2007-02,5
2007-03,4
2007-04,4
2007-05,5
2007-06,7
2007-07,9
2007-08,8
2007-09,6
2007-10,3
2007-11,3
2007-12,3
2008-01,3
2008-02,3
2008-03,4
2008-04,5
2008-05,5
2008-06,12
2008-07,6
2008-08,4
2008-09,3
2008-10,4
2008-11,2
2008-12,4
2009-01,3
2009-02,4
2009-03,3
2009-04,4
2009-05,5
2009-06,5
2009-07,9
2009-08,4
2009-09,5
2009-10,6
2009-11,4
2009-12,3
2010-01,3
2010-02,3
2010-03,4
2010-04,5
2010-05,3
2010-06,7
2010-07,17
2010-08,11
2010-09,8
2010-10,5
2010-11,3
2010-12,3
2011-01,4
2011-02,3
2011-03,4
2011-04,3
2011-05,5
2011-06,7
2011-07,26
2011-08,12
2011-09,4
2011-10,4
2011-11,3
2011-12,4
2012-01,4
2012-02,3
2012-03,4
2012-04,4
2012-05,5
2012-06,11
2012-07,20
2012-08,6
2012-09,4
2012-10,4
2012-11,4
2012-12,3
2013-01,4
2013-02,3
2013-03,3
2013-04,3
2013-05,5
2013-06,9
2013-07,17
2013-08,6
2013-09,5
2013-10,3
2013-11,4
2013-12,4
2014-01,5
2014-02,4
2014-03,3
2014-04,4
2014-05,6
2014-06,4
2014-07,6
2014-08,4
2014-09,6
2014-10,5
2014-11,4
2014-12,3
2015-01,3
2015-02,5
2015-03,5
2015-04,4
2015-05,11
2015-06,15
2015-07,14
2015-08,9
2015-09,7
2015-10,5
2015-11,3
2015-12,4
2016-01,4
2016-02,4
2016-03,5
2016-04,5
2016-05,6
2016-06,12
2016-07,16
2016-08,7
2016-09,5
2016-10,4
2016-11,3
2016-12,3
2017-01,4
2017-02,4
2017-03,4
2017-04,5
2017-05,6
2017-06,16
2017-07,10
2017-08,10
2017-09,11
2017-10,5
2017-11,5
2017-12,3
2018-01,4
2018-02,4
2018-03,4
2018-04,5
2018-05,6
2018-06,11
2018-07,30
2018-08,11
2018-09,5
2018-10,4
2018-11,4
2018-12,4
2019-01,5
2019-02,5
2019-03,4
2019-04,5
2019-05,6
2019-06,21
2019-07,40
2019-08,9
2019-09,6
2019-10,5
2019-11,4
2019-12,5
2020-01,5
2020-02,5
2020-03,5
2020-04,7
2020-05,7
2020-06,8
2020-07,18
2020-08,18
2020-09,12
2020-10,6
2020-11,8
2020-12,8
2021-01,7
2021-02,6
2021-03,7
2021-04,9
2021-05,11
2021-06,100
2021-07,51
2021-08,41
2021-09,11
